topic,question,answer
סעודה בערב שבת,מה עושים כשתענית ציבור חלה בערב שבת,
סעודה בערב שבת,מותר להתענות תענית יחיד בערב שבת,
מלאכה בערב שבת,עד מתי מותר לעבוד בערב שבת,
מלאכה בערב שבת,מותר לעבוד בערב שבת לצורך השבת,
מלאכה בערב שבת,"מותר לכתוב סת""ם בערב שבת",
מלאכה בערב שבת,אפשר לכתוב חידושי תורה בערב שבת,
מלאכה בערב שבת,מותר להשכיר רכב לפני שבת,
מלאכה בערב שבת,אפשר להשכיר דירה למי שמחלל שבת,
מלאכה בערב שבת,מותר להשכיר חנות למי שפותח בשבת,
מלאכה בערב שבת,אפשר למכור כרטיסי טיסה לשבת,
מלאכה בערב שבת,מותר להשאיר מכונת מכירה פועלת בשבת,
מלאכה בערב שבת,אפשר להשאיר מזכירה אלקטרונית בשבת,
מלאכה בערב שבת,מותר להשאיר פקס פועל בשבת,
מלאכה בערב שבת,אפשר לקבל מיילים בשבת,
מלאכה המסתיימת בשבת,מותר להשאיר מכונת כביסה עובדת בשבת,
מלאכה המסתיימת בשבת,אפשר להפעיל שעון שבת לפני שבת,
מלאכה המסתיימת בשבת,מותר להשאיר שעון מעורר שיצלצל בשבת,
מלאכה המסתיימת בשבת,אפשר להשאיר פלאפון דלוק בשבת,
מלאכה המסתיימת בשבת,מותר להשאיר הקלטה פועלת בשבת,
מלאכה המסתיימת בשבת,אפשר להפליג בספינה שתמשיך בשבת,
מלאכה המסתיימת בשבת,מותר להשאיר מדיח כלים עובד בשבת,
מלאכה המסתיימת בשבת,אפשר להשאיר תנור עובד בשבת,
שנים מקרא ואחד תרגום,מה זה שנים מקרא ואחד תרגום,
שנים מקרא ואחד תרגום,מה המקור לקרוא תרגום,
שנים מקרא ואחד תרגום,זו חובה גמורה או מנהג,
שנים מקרא ואחד תרגום,"אפשר לקרוא רש""י במקום תרגום",
שנים מקרא ואחד תרגום,צריך לקרוא עם טעמי המקרא,
שנים מקרא ואחד תרגום,מאיזה גיל מחנכים לשנים מקרא,
שנים מקרא ואחד תרגום,מתי קוראים שנים מקרא,
שנים מקרא ואחד תרגום,מה עושים אם שכחתי לקרוא,
שנים מקרא ואחד תרגום,קוראים גם וזאת הברכה,
שנים מקרא ואחד תרגום,אפשר לקרוא מתוך ספר תורה,
שנים מקרא ואחד תרגום,מותר להפסיק באמצע הקריאה,
שנים מקרא ואחד תרגום,מי פטור משנים מקרא,
שנים מקרא ואחד תרגום,צריך לקרוא גם את ההפטרה,
הדלקת נרות,מה מצוות הדלקת נרות,
הדלקת נרות,למה מדליקים דווקא שני נרות,
הדלקת נרות,מה זה ריבוי אורה בנרות,
הדלקת נרות,מה מתפללים בזמן הדלקת הנרות,
הדלקת נרות,איך מכינים את הנרות לשבת,
הדלקת נרות,צריך להדליק רוב הפתילה,
הדלקת נרות,מה עושים עם הגפרור אחרי ההדלקה,
הדלקת נרות,צריך לכסות את הראש בהדלקת נרות,
הדלקת נרות,איפה מדליקים נרות בבית,
הדלקת נרות,כמה שמן צריך לשים בנרות,
הדלקת נרות,מותר להעביר את הנרות אחרי ההדלקה,
הדלקת נרות,הנרות כבו מה עושים,
הדלקת נרות,באיזה שמן הכי טוב להדליק,
הדלקת נרות,למה עדיף שמן זית,
הדלקת נרות,מותר להדליק נרות חשמליים,
הדלקת נרות,מי חייב בהדלקת נרות,
הדלקת נרות,גם גברים מדליקים נרות,
הדלקת נרות,מדליקים נר אחד לכל המשפחה,
הדלקת נרות,מדליקים נרות בבית מלון,
הדלקת נרות,בחור ישיבה חייב להדליק נרות,
הדלקת נרות,חייל בבסיס מדליק נרות,
הדלקת נרות,בת בפנימייה מדליקה נרות,
הדלקת נרות,שותפים בדירה כל אחד מדליק,
הדלקת נרות,אורח מדליק נרות בבית המארח,
הדלקת נרות,אפשר לשלוח שליח שידליק נרות,
הדלקת נרות,אבא שגר עם בן נשוי מי מדליק,
הדלקת נרות,ילדים לבד בבית מי מדליק,
הדלקת נרות,אישה עיוורת מדליקה נרות ומברכת,
הדלקת נרות,האם מדליקה מקבלת שבת מיד,
הדלקת נרות,מותר לנסוע אחרי הדלקת נרות,
הדלקת נרות,מותר לאכול אחרי הדלקת נרות,
הדלקת נרות,מותר להתפלל מנחה אחרי ההדלקה,
הדלקת נרות,מתי בדיוק זמן הדלקת נרות,
הדלקת נרות,למה בירושלים מדליקים ארבעים דקות לפני,
הדלקת נרות,טעיתי בזמן ההדלקה מה עושים,
הדלקת נרות,מברכים לפני ההדלקה או אחרי,
הדלקת נרות,מה בדיוק נוסח ברכת הנרות,
הדלקת נרות,שכחתי לברך על הנרות מה עושים,
הדלקת נרות,מותר להפסיק בדיבור באמצע ההדלקה,
הדלקת נרות,מותר לכבות את האור אחרי הדלקת נרות,
כניסת השבת,מה זה תוספת שבת,
כניסת השבת,כמה זמן צריך להוסיף לפני שבת,
כניסת השבת,מותר לעשות מלאכה אחרי תוספת שבת,
כניסת השבת,כל אחד מקבל שבת לעצמו,
כניסת השבת,מותר לאכול אחרי שקיבלתי שבת,
כניסת השבת,מה זה בין השמשות,
כניסת השבת,מותר להשתמש לאור הנר בשבת,
כניסת השבת,מותר לקרוא לאור נר בשבת,
כניסת השבת,מותר להשתמש לאור החשמל בשבת,
בית כנסת ותפילות ליל שבת,מי מכין את בית הכנסת לשבת,
בית כנסת ותפילות ליל שבת,מתי מדליקים את התאורה בבית הכנסת,
בית כנסת ותפילות ליל שבת,מותר להביא ילדים קטנים לבית הכנסת,
בית כנסת ותפילות ליל שבת,מתי מתפללים ערבית בשבת,
בית כנסת ותפילות ליל שבת,מה זה קבלת שבת,
בית כנסת ותפילות ליל שבת,למה אומרים שיר השירים לפני שבת,
בית כנסת ותפילות ליל שבת,למה אומרים במה מדליקין,
בית כנסת ותפילות ליל שבת,למה אומרים לכה דודי ובואי כלה,
בית כנסת ותפילות ליל שבת,למה אומרים ויכולו,
בית כנסת ותפילות ליל שבת,מה זה ברכת מעין שבע,
בית כנסת ותפילות ליל שבת,עד מתי אפשר לענות קדושה,
טעויות בתפילת שבת,טעיתי והתפללתי תפילת חול בשבת,
טעויות בתפילת שבת,שליח ציבור שטעה בתפילה מה עושה,
טעויות בתפילת שבת,טעיתי בערבית של שבת,
טעויות בתפילת שבת,טעיתי במנחה של שבת,
טעויות בתפילת שבת,התפללתי מוסף במקום ערבית,
טעויות בתפילת שבת,התפללתי תפילת שבת במקום מוסף,
טעויות בתפילת שבת,טעיתי במוסף של שבת ראש חודש,
טעויות בתפילת שבת,מה זה תפילת תשלומין,
שולחן שבת,איפה שמים את שולחן שבת,
שולחן שבת,צריך כלים מיוחדים לשבת,
שולחן שבת,מתי עורכים את השולחן,
שולחן שבת,למה מנשקים ידי הורים בשבת,
שולחן שבת,למה אומרים שלום עליכם,
שולחן שבת,למה אומרים אשת חיל,
שולחן שבת,מה זה אזמר בשבחין,
קידוש ליל שבת,קידוש הוא מהתורה או מדרבנן,
קידוש ליל שבת,מותר לטעום לפני הקידוש,
קידוש ליל שבת,נשים חייבות בקידוש,
קידוש ליל שבת,ילדים קטנים חייבים בקידוש,
קידוש ליל שבת,עד מתי אפשר לקדש בליל שבת,
קידוש ליל שבת,איזה כוס צריך לקידוש,
קידוש ליל שבת,כמה יין צריך בכוס הקידוש,
קידוש ליל שבת,איזה יין כשר לקידוש,
קידוש ליל שבת,מותר לקדש על מיץ ענבים,
קידוש ליל שבת,מותר לקדש בישיבה או בעמידה,
קידוש ליל שבת,כמה צריך לשתות מכוס הקידוש,
קידוש ליל שבת,אין לי יין מה עושים,
קידוש ליל שבת,אין יין ואין לחם מה עושים,
קידוש ליל שבת,מה זה קידוש במקום סעודה,
קידוש ליל שבת,כמה זמן אפשר לחכות בין קידוש לסעודה,
קידוש ליל שבת,מותר לצאת החוצה בין הקידוש לסעודה,
קידוש ליל שבת,חולה שלא יכול לשתות יין מה עושה,
קידוש ליל שבת,אפשר לצאת ידי חובה בקידוש של אחר,
לחם משנה,למה שתי חלות בשבת,
לחם משנה,למה מכסים את החלות,
לחם משנה,החלות צריכות להיות שלמות,
לחם משנה,אפשר להשתמש בחלות דבוקות,
לחם משנה,אפשר לעשות לחם משנה ממצה או עוגה,
לחם משנה,אפשר להשתמש בלחם קפוא,
לחם משנה,אישה חייבת בלחם משנה,
לחם משנה,איך בוצעים את החלה,
לחם משנה,למה טובלים חלה במלח,
סעודות שבת,איך נוטלים ידיים בשבת,
סעודות שבת,מותר לאכול בשר אחרי דגים,
סעודות שבת,חייבים לשתות יין בסעודה,
סעודות שבת,מותר לאכול גלידה לקינוח בשבת,
סעודות שבת,מותר לאכול עוגה בסעודת שבת,
סעודות שבת,למה מכסים את הסכין בברכת המזון,
סעודות שבת,שכחתי רצה והחליצנו מה עושים,
סעודות שבת,מותר להזמין משפחה שלא שומרת שבת,
סעודות שבת,מה זה מאה ברכות בשבת,
סעודות שבת,איך משלימים מאה ברכות בשבת,
סעודות שבת,מברכים על בשמים בשבת,
סעודות שבת,מה מברכים על קינוח אחרי הסעודה,
סדר הלילה,מה קוראים בליל שבת,
סדר הלילה,מה זה שירת הבקשות,
סדר הלילה,מותר לישון הרבה בשבת,
סדר הלילה,מותר לאכול לפני עמוד השחר בשבת,
סדר הלילה,מה זה תענית חלום ומתי עושים,
שחרית ומוסף,מותר לאכול לפני תפילת שחרית בשבת,
שחרית ומוסף,עד מתי אפשר להתפלל שחרית בשבת,
שחרית ומוסף,מה זה טלית נאה,
שחרית ומוסף,מי שמאחר לתפילה מה עושה,
שחרית ומוסף,נשים חייבות בתפילת מוסף,
שחרית ומוסף,מותר לצאת מבית הכנסת באמצע,
שחרית ומוסף,מתי אומרים מזמור שיר ליום השבת,
קריאת התורה,למה מוכרים מצוות בבית הכנסת,
קריאת התורה,מותר לדבר בזמן קריאת התורה,
קריאת התורה,מי יכול לעלות לתורה,
קריאת התורה,קטן יכול לעלות לתורה,
קריאת התורה,אין כהן או לוי מה עושים,
קריאת התורה,מי שמחלל שבת יכול לעלות לתורה,
קריאת התורה,כמה עולים יש בשבת,
קריאת התורה,מה זה הגבהה וגלילה,
קריאת התורה,למה אומרים בריך שמיה,
קריאת התורה,מותר לעלות פעמיים לתורה,
קריאת התורה,מה הדין של ההפטרה,
קריאת התורה,קוראים הפטרה מקלף או מחומש,
קריאת התורה,מותר לדבר בזמן ההפטרה,
קריאת התורה,אפשר לעלות לתורה לעילוי נשמה,
קידוש היום,מה זה קידושא רבה,
קידוש היום,למה תיקנו קידוש ביום,
קידוש היום,מותר לטעום לפני קידוש הבוקר,
קידוש היום,אין יין לקידוש הבוקר מה עושים,
קידוש היום,מי שלא יודע לקדש מה עושה,
סדר יום השבת,מתי אוכלים סעודה שנייה,
סדר יום השבת,מה זה תבלין של שבת,
סדר יום השבת,למה אוכלים ביצה בחמין,
סדר יום השבת,אכלתי עוגה וסעדתי אחרי חצות מה הדין,
סדר יום השבת,למה כדאי ללמוד תורה בשבת,
סדר יום השבת,מה השכר של חידושי תורה בשבת,
מנחה וסעודה שלישית,מה מתפללים במנחה של שבת,
מנחה וסעודה שלישית,למה אומרים ואני תפילתי,
מנחה וסעודה שלישית,מה זה צדקתך צדק,
מנחה וסעודה שלישית,סעודה שלישית זו חובה,
מנחה וסעודה שלישית,מתי אוכלים סעודה שלישית,
מנחה וסעודה שלישית,מה אוכלים בסעודה שלישית,
מנחה וסעודה שלישית,אפשר לעשות סעודה שלישית בבית הכנסת,
מנחה וסעודה שלישית,שכחתי רצה בסעודה שלישית,
מנחה וסעודה שלישית,עד מתי אפשר לאכול סעודה שלישית,
מנחה וסעודה שלישית,מותר לעשות מלאכה אחרי סעודה שלישית,
צאת השבת והבדלה,מתי בדיוק יוצאת שבת,
צאת השבת והבדלה,מה זה זמן רבנו תם,
צאת השבת והבדלה,מתי מתפללים ערבית במוצאי שבת,
צאת השבת והבדלה,מה זה אתה חוננתנו,
צאת השבת והבדלה,מה עושים אם שכחתי אתה חוננתנו,
צאת השבת והבדלה,מתי אומרים ויהי נועם,
צאת השבת והבדלה,הבדלה היא מהתורה,
צאת השבת והבדלה,מותר לעשות מלאכה לפני הבדלה,
צאת השבת והבדלה,מותר לאכול לפני הבדלה,
צאת השבת והבדלה,אפשר להבדיל בבית הכנסת,
צאת השבת והבדלה,אפשר להוציא את בני הבית בהבדלה,
צאת השבת והבדלה,נשים חייבות בהבדלה,
צאת השבת והבדלה,מבדילים בישיבה או בעמידה,
צאת השבת והבדלה,איזה כוס צריך להבדלה,
צאת השבת והבדלה,מה סדר ההבדלה,
צאת השבת והבדלה,אין לי יין להבדלה מה עושים,
צאת השבת והבדלה,על מה מברכים בשמים,
צאת השבת והבדלה,למה מברכים על הנר בהבדלה,
צאת השבת והבדלה,מותר להפסיק באמצע ההבדלה,
צאת השבת והבדלה,אפשר להבדיל בלי בשמים ונר,
צאת השבת והבדלה,עד מתי אפשר להבדיל,
צאת השבת והבדלה,למה מסתכלים בציפורניים בהבדלה,
צאת השבת והבדלה,עיוור מברך על הנר,
סעודה רביעית,מה זה סעודה רביעית,
סעודה רביעית,סעודה רביעית זו חובה,
סעודה רביעית,נשים חייבות בסעודה רביעית,
סעודה רביעית,מתי אוכלים סעודה רביעית,
סעודה רביעית,מה אוכלים בסעודה רביעית,
סעודה רביעית,מה זה מלווה מלכה,
השמעת קול,מותר לנגן בכלי נגינה בשבת,
השמעת קול,מותר לשיר בפה בשבת,
השמעת קול,מותר למחוא כפיים ולרקוד בשבת,
השמעת קול,מותר לצלצל בפעמון בשבת,
השמעת קול,מותר לדפוק בדלת בשבת,
טבילת כלים,מותר לטבול כלים בשבת,
טבילת כלים,קניתי כלי חדש ורוצה להשתמש בו בשבת,
הכנה משבת לחול,מה זה איסור הכנה משבת לחול,
הכנה משבת לחול,מותר לשטוף כלים בשבת אחרי הסעודה האחרונה,
הכנה משבת לחול,מותר לסדר את השולחן במוצאי שבת בעודו שבת,
הכנה משבת לחול,מותר לסדר מיטות בשבת,
הכנה משבת לחול,מותר להפשיר אוכל בשבת ליום ראשון,
הכנה משבת לחול,מותר להחזיר אוכל למקפיא בשבת,
הכנה משבת לחול,מותר ללבוש פיג'מה בשבת מבעוד יום,
הכנה משבת לחול,מותר להחזיר ספרים למקומם בשבת,
הכנה משבת לחול,מותר לגלול ספר תורה בשבת לקריאה של אחר כך,
הכנה משבת לחול,מותר לישון בשבת בשביל מוצאי שבת,
הליכה וריצה,מותר לרוץ בשבת,
הליכה וריצה,מותר להתעמל בשבת,
הליכה וריצה,מותר לדלג על שלולית בשבת,
הליכה וריצה,מותר לרכוב על אופניים בשבת,
הליכה וריצה,מותר לעשות כושר בשבת,
דיבורים בשבת,מותר לחשוב על ענייני חול בשבת,
דיבורים בשבת,מותר לומר שאסע למקום מסוים אחרי שבת,
דיבורים בשבת,מותר לומר שאעשה מלאכה במוצאי שבת,
דיבורים בשבת,מותר לחשב הוצאות בשבת,
דיבורים בשבת,מותר לשאול כמה עולה משהו,
דיבורים בשבת,איך מבקשים חפץ בשבת בלי להזכיר מחיר,
דיבורים בשבת,מותר לתבוע חוב בשבת,
דיבורים בשבת,מותר לדבר דברים בטלים בשבת,
דיבורים בשבת,מותר לצעוק על ילדים בשבת,
דיבורים בשבת,מותר לבקש בקשות אישיות בתפילת שבת,
דיבורים בשבת,מותר להוכיח מישהו שמחלל שבת,
דיבורים בשבת,מה עונים לנהג שנוסע בשבת,
דיבורים בשבת,מותר לנחם אבלים בשבת,
דיבורים בשבת,מותר לבכות בשבת,
דיבורים בשבת,מותר לבקר חולים בשבת,
דיבורים בשבת,מותר לומר רפואה שלמה בשבת,
קריאה בשבת,מותר לקרוא מכתבי חול בשבת,
קריאה בשבת,מותר לקרוא כרטיסי ברכה בשבת,
קריאה בשבת,מותר לקרוא עיתון בשבת,
קריאה בשבת,מותר לקרוא עלונים בבית הכנסת,
קריאה בשבת,מותר לקרוא ספרי היסטוריה בשבת,
קריאה בשבת,מותר ללמוד לימודי חול בשבת,
קריאה בשבת,מותר לקרוא ספרי רפואה בשבת,
קריאה בשבת,מותר לקרוא ספר בישול בשבת,
קריאה בשבת,מותר לקרוא דברים מצערים בשבת,
קריאה בשבת,מותר להסתכל בתמונות בשבת,
קריאה בשבת,מותר לקרוא קומיקס בשבת,
קריאה בשבת,מותר לקרוא הזמנה לחתונה בשבת,
קריאה בשבת,מותר לקרוא קבלות בשבת,
קריאה בשבת,מותר לקרוא על בחירות בשבת,
עיסוק בצורכי חול,מותר למדוד משהו בשבת,
עיסוק בצורכי חול,מותר לתכנן שיפוצים בשבת,
עיסוק בצורכי חול,מותר לחשוב על עסקים בשבת,
עיסוק בצורכי חול,מותר לראות דירה בשבת,
עיסוק בצורכי חול,מותר לספור כסף בשבת,
עיסוק בצורכי חול,מותר לעסוק בצורכי מצווה בשבת,
"מבוא לל""ט מלאכות","מה המקור בתורה לל""ט מלאכות",
"מבוא לל""ט מלאכות",למה דווקא שלושים ותשע מלאכות,
"מבוא לל""ט מלאכות",מה זה אבות ותולדות,
"מבוא לל""ט מלאכות",מה העונש על חילול שבת,
"מבוא לל""ט מלאכות",מה הדין אם חיללתי שבת בשוגג,
"מבוא לל""ט מלאכות",מה עושים אם חיללתי שבת במזיד,
"מבוא לל""ט מלאכות",איך עושים תשובה על חילול שבת,
זורע,מותר לזרוק גרעינים בגינה בשבת,
זורע,מותר לפתוח חלון ליד צמחים בשבת,
זורע,מותר להזיז עציץ בשבת,
זורע,מותר לתלוש עלה מעציץ,
זורע,מותר להשקות בשבת,
זורע,מותר לפתוח ברז בגינה בשבת,
זורע,מים מהכיור נשפכים לגינה מה עושים,
זורע,מותר להפעיל טפטפות בשבת,
זורע,מותר לשים פרחים במים בשבת,
חורש,מותר לגרור חפץ כבד על אדמה בשבת,
חורש,מותר לדחוף עגלת תינוק על חול,
חורש,מותר לטאטא על אדמה בשבת,
חורש,מותר לטאטא רצפה מרוצפת בשבת,
חורש,מותר לשחק בגולות בשבת,
חורש,מותר לחפור בשבת,
קוצר,מותר לתלוש מעציץ בשבת,
קוצר,מותר לשכב על דשא בשבת,
קוצר,מותר ללכת על דשא בשבת,
קוצר,מותר לעלות על עץ בשבת,
קוצר,נתקע לי חפץ בעץ מה עושים,
קוצר,מותר להריח פרח מחובר לקרקע,
קוצר,מותר לקטוף עשבים בשבת,
קוצר,קוצים נתפסו בבגד מה עושים,
מעמר,מה זה מלאכת מעמר,
מעמר,מותר לאסוף פירות שנפלו בגינה,
מעמר,מותר לאסוף חפצים שהתפזרו בשבת,
מעמר,מותר לאסוף אוכל לצלחת בשבת,
דש וסחיטה,מותר לקלף בוטנים בשבת,
דש וסחיטה,מותר לחלוב פרה בשבת,
דש וסחיטה,מותר לסחוט זיתים וענבים בשבת,
דש וסחיטה,מותר לסחוט לימון בשבת,
דש וסחיטה,מותר לסחוט תפוזים בשבת,
דש וסחיטה,מותר להשתמש במסחטה בשבת,
דש וסחיטה,מותר למצוץ מיץ מפרי בפה,
דש וסחיטה,מותר לשים סוכר על אשכולית,
דש וסחיטה,מיץ שיצא מעצמו מותר לשתות,
דש וסחיטה,מותר לסחוט מלפפון חמוץ בשבת,
דש וסחיטה,מותר לרסק קרח בשבת,
דש וסחיטה,מותר לשים משקה על קוביות קרח,
דש וסחיטה,מותר להשתמש במגבונים לחים בשבת,
דש וסחיטה,מותר להשתמש במגב בשבת,
זורה,מה זה מלאכת זורה,
זורה,מותר להשתמש בספריי בשבת,
זורה,מותר לרסס בושם בשבת,
זורה,מותר לרסס מטהר אוויר בשבת,
בורר,מה ההגדרה של מלאכת בורר,
בורר,מותר לברור בשביל אחרים בשבת,
בורר,מותר לברור אוכל לבעלי חיים,
בורר,מותר לברור עם כלי בשבת,
בורר,מה זה לאלתר ולכמה זמן,
בורר,מותר לברור מוקדם בשביל אורחים,
בורר,יש שני סוגי אוכל בצלחת מותר להפריד,
בורר,מותר להוציא פסולת מתוך אוכל,
בורר,מותר לברור בתוך מין אחד,
בורר,מותר לברור נוזל בשבת,
בורר,מותר לברור תוך כדי אכילה,
בורר,יש תולעת בפרי מה עושים,
בורר,מותר לקלף פירות בשבת,
בורר,מותר לקלף ביצה בשבת,
בורר,מותר להוציא גרעין מפרי,
בורר,מותר להוציא ענבים מהאשכול,
בורר,מותר להפריד עלי חסה,
בורר,מותר לשטוף פירות בשבת,
בורר,מותר להסיר עטיפה ותווית בשבת,
בורר,"מותר למיין סכו""ם בשבת",
בורר,מותר למיין ספרים בשבת,
בורר,מותר לסדר בגדים בארון בשבת,
בורר,מותר להוציא עצמות מדג בשבת,
טוחן,מותר לחתוך ירקות דק דק בשבת,
טוחן,מותר להשתמש בפומפייה בשבת,
טוחן,מותר להשתמש במקצץ ביצים,
טוחן,מותר להשתמש בסלייסר בשבת,
טוחן,מותר לרסק פירות וירקות בשבת,
טוחן,מה זה אין טוחן אחר טוחן,
טוחן,מותר לכתוש מלח גס בשבת,
טוחן,מותר לרסק בננה לתינוק בשבת,
לש,מותר להוסיף מיץ לבננה מרוסקת,
לש,מותר לערבב רוטב בתבשיל בשבת,
לש,מותר להכין סלט ביצים בשבת,
לש,מותר להכין כבד קצוץ בשבת,
לש,מותר לערבב אגוזים בדבש,
לש,מותר לערבב שמן ולימון בסלט,
לש,מותר להכין מיונז בשבת,
לש,מותר לטרוף ביצה בשבת,
לש,מותר להכין קפה הפוך בשבת,
לש,מותר להכין מטרנה לתינוק בשבת,
לש,מותר להכין חילבה בשבת,
לש,מותר לערבב טחינה בשבת,
לש,מותר להכין ג'לי בשבת,
לש,מותר להדביק שיניים תותבות בשבת,
גוזז,מותר לתלוש שערה בשבת,
גוזז,מותר להסתרק במסרק בשבת,
גוזז,מותר להשתמש במברשת רכה בשבת,
גוזז,מותר לסדר את השיער ביד בשבת,
גוזז,מותר להסיר פלסטר בשבת,
גוזז,מותר לגזוז ציפורניים בשבת,
גוזז,מותר לתלוש עור יבש מהשפה,
מלבן,מותר לכבס בגד בשבת,
מלבן,מותר לתלות כביסה בשבת,
מלבן,מותר לתלות בגד רטוב ליד תנור,
מלבן,מותר לנער בגד ממים בשבת,
מלבן,מותר לנער בגד מאבק בשבת,
מלבן,מותר להשתמש במברשת בגדים,
מלבן,מותר לשפשף כתם בבגד,
מלבן,מותר לנקות נעלי עור בשבת,
מלבן,מותר לנקות בגד ניילון בשבת,
מלבן,מותר לשטוף מוצץ בשבת,
מלבן,מותר לנקות מפת ניילון בשבת,
מלבן,מותר לנקות משקפיים בשבת,
צובע,מותר לצחצח נעליים בשבת,
צובע,מותר להתאפר בשבת,
צובע,מותר לשים פודרה בשבת,
צובע,מותר לאכול רימון או סלק שצובעים,
צובע,מותר לשים צמר גפן על פצע שמדמם,
צובע,מותר לצבוע אוכל בשבת,
צובע,מותר להרכיב משקפי שמש בשבת,
צובע,מותר להשתמש בסבוניה לאסלה,
קושר ומתיר,אילו קשרים אסורים בשבת,
קושר ומתיר,אילו קשרים מותרים בשבת,
קושר ומתיר,מותר לקשור שני קשרים בשבת,
קושר ומתיר,מותר לקשור מטפחת ראש בשבת,
קושר ומתיר,מה זה קשר עניבה,
קושר ומתיר,מותר לקשור עניבה בשבת,
קושר ומתיר,מותר להתיר קשר בשבת,
קושר ומתיר,מותר לפתוח בקבוק שמפניה בשבת,
קושר ומתיר,מותר לכרוך גומייה בשבת,
קושר ומתיר,מותר לפתוח אזיקון בשבת,
קושר ומתיר,מותר לקשור שרוכים בשבת,
תופר וקורע,מותר להשתמש בסיכת ביטחון בשבת,
תופר וקורע,מותר לסגור רוכסן בשבת,
תופר וקורע,מותר להדביק ניירות בשבת,
תופר וקורע,מותר להשתמש בטיטולים בשבת,
תופר וקורע,מותר להדביק מדבקה בשבת,
תופר וקורע,מותר להשתמש בסקוטש בשבת,
תופר וקורע,מותר לקרוע נייר טישו בשבת,
תופר וקורע,מותר להפריד דפים דבוקים בשבת,
תופר וקורע,מותר לקרוע צמר גפן בשבת,
תופר וקורע,מותר לפתוח שקית מזון בשבת,
תופר וקורע,מותר להוציא חוט תפור מהעוף,
צידה ושוחט,מותר לסגור תיבה שיש בה זבובים,
צידה ושוחט,מותר לצוד יתוש בשבת,
צידה ושוחט,מותר לתפוס תרנגול בשבת,
צידה ושוחט,מותר לשים מלכודת עכברים בשבת,
צידה ושוחט,ציפור נכנסה לבית מה עושים,
צידה ושוחט,מותר להרוג יתוש בשבת,
צידה ושוחט,מותר להרוג נחש בשבת,
צידה ושוחט,מותר להרוג עכבר בשבת,
צידה ושוחט,מותר להרוג נמלים בשבת,
צידה ושוחט,מותר להרוג חרקים באסלה,
צידה ושוחט,מותר להוציא דם בשבת,
ממחק,מה זה מלאכת ממרח,
ממחק,מותר למרוח משחה על פצע בשבת,
ממחק,מותר להשתמש בדאודורנט בשבת,
ממחק,מותר למרוח חמאה או ממרח על לחם,
ממחק,מותר למרוח משחה לתינוק בשבת,
כותב ומוחק,מה זה כתיבה מתקיימת,
כותב ומוחק,מותר לכתוב במים או באדים בשבת,
כותב ומוחק,מותר לחבר אותיות בשבת,
כותב ומוחק,מותר לחרוט סימן בציפורן,
כותב ומוחק,מותר ללמוד ליד כלי כתיבה בשבת,
כותב ומוחק,מותר להגיה ספר בשבת,
כותב ומוחק,מותר ללכת עם נעליים שיש עליהן כיתוב,
כותב ומוחק,מותר להרטיב שעון דיגיטלי בשבת,
כותב ומוחק,מותר לחתוך עוגה שכתוב עליה,
כותב ומוחק,מותר למחוק כתב מהיד בשבת,
